2022-06-17 18:56:31.626833|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.6 (2021-06-09 10:22:37)
2022-06-17 18:56:31.626961|INFO    |ServerLibPriv |   |SystemInformation: Linux 5.4.0-120-generic #136-Ubuntu SMP Fri Jun 10 13:40:48 UTC 2022 x86_64 Binary: 64bit
2022-06-17 18:56:31.627002|INFO    |ServerLibPriv |   |Using hardware aes
2022-06-17 18:56:31.629901|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2022-06-17 18:56:31.629981|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2022-06-17 18:56:31.632767|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2022-06-17 18:56:31.777604|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2022-06-17 18:56:31.805526|INFO    |Accounting    |   |Licensing Information
2022-06-17 18:56:31.805580|INFO    |Accounting    |   |licensed to       : Anonymous
2022-06-17 18:56:31.805605|INFO    |Accounting    |   |type              : No License
2022-06-17 18:56:31.805632|INFO    |Accounting    |   |starting date     : Thu Oct  1 00:00:00 2020
2022-06-17 18:56:31.805680|INFO    |Accounting    |   |ending date       : Tue Nov  1 00:00:00 2022
2022-06-17 18:56:31.805717|INFO    |Accounting    |   |max virtualservers: 1
2022-06-17 18:56:31.805739|INFO    |Accounting    |   |max slots         : 32
2022-06-17 18:56:34.838082|INFO    |              |   |Puzzle precompute time: 2968
2022-06-17 18:56:34.840955|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2022-06-17 18:56:34.876808|INFO    |Query         |   |Using a query thread pool size of 2
2022-06-17 18:56:34.968154|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2022-06-17 18:56:34.968625|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2022-06-17 18:56:34.973629|INFO    |ServerLibPriv |   |failed to download revocation list - count: 1
2022-06-17 21:28:35.317909|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-06-17 21:56:35.142288|INFO    |ServerLibPriv |   |failed to download revocation list - count: 2
2022-06-18 00:56:35.314788|INFO    |ServerLibPriv |   |failed to download revocation list - count: 3
2022-06-18 03:56:35.491186|INFO    |ServerLibPriv |   |failed to download revocation list - count: 4
2022-06-18 06:56:35.667520|INFO    |ServerLibPriv |   |failed to download revocation list - count: 5
2022-06-18 09:56:35.848815|INFO    |ServerLibPriv |   |failed to download revocation list - count: 6
2022-06-18 12:56:36.024160|INFO    |ServerLibPriv |   |failed to download revocation list - count: 7
2022-06-18 15:56:36.192611|INFO    |ServerLibPriv |   |failed to download revocation list - count: 8
2022-06-18 18:56:36.360427|INFO    |ServerLibPriv |   |failed to download revocation list - count: 9
2022-06-18 21:28:35.475137|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-06-18 21:56:36.537393|INFO    |ServerLibPriv |   |failed to download revocation list - count: 10
2022-06-19 00:56:36.711311|INFO    |ServerLibPriv |   |failed to download revocation list - count: 11
2022-06-19 03:56:36.874712|INFO    |ServerLibPriv |   |failed to download revocation list - count: 12
2022-06-19 06:56:37.052161|INFO    |ServerLibPriv |   |failed to download revocation list - count: 13
2022-06-19 09:56:37.232841|INFO    |ServerLibPriv |   |failed to download revocation list - count: 14
2022-06-19 12:56:37.406175|INFO    |ServerLibPriv |   |failed to download revocation list - count: 15
2022-06-19 15:56:37.576361|INFO    |ServerLibPriv |   |failed to download revocation list - count: 16
2022-06-19 18:56:37.756214|INFO    |ServerLibPriv |   |failed to download revocation list - count: 17
2022-06-19 21:28:35.694774|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2022-06-19 21:56:37.911628|INFO    |ServerLibPriv |   |failed to download revocation list - count: 18
2022-06-20 00:56:38.081487|INFO    |ServerLibPriv |   |failed to download revocation list - count: 19
2022-06-20 03:56:38.262247|INFO    |ServerLibPriv |   |failed to download revocation list - count: 20
2022-06-20 06:56:38.434506|INFO    |ServerLibPriv |   |failed to download revocation list - count: 21
2022-06-20 09:56:38.629405|INFO    |ServerLibPriv |   |failed to download revocation list - count: 22
2022-06-20 12:56:38.816438|INFO    |ServerLibPriv |   |failed to download revocation list - count: 23
2022-06-20 15:56:38.996725|INFO    |ServerLibPriv |   |failed to download revocation list - count: 24
2022-06-20 18:56:39.183451|INFO    |ServerLibPriv |   |failed to download revocation list - count: 25
